nom,matiere
111,
112,
113,
114,
115,
116,
117,
118,
119,
121,
122,
123,
124,
125,
126,
128,
129,
130,
131,
132,
133,svt
134,svt
TP 7,physique
TP 6,physique
201,nsi
202,nsi
203,si
204,si
Gymnase 1,eps
Gymnase 2,eps
205,svt
206,svt
TP 1,physique
TP 2,physique
207,nsi
208,nsi
209,si
210,si
Gymnase 3,eps
Gymnase 4,eps
TP 3,physique
TP 4,physique
TP 5,physique
211,svt
212,svt
150,svt
151,svt
152,
153,
154,
155,
156,
167,
158,
159,
160,
161,
162,
163,
